the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Myiarchus crinitus,700,16956,3147_Sibl_9780307957900_art_r1.jpg,375,Great Crested Flycatcher,http://www.audubon.org/node/700,1245,1686,Great Crested Flycatcher
,Myiarchus cinerascens,689,16961,3156_Sibl_9780307957900_art_r1.jpg,376,Ash-throated Flycatcher,http://www.audubon.org/node/689,1194,1686,Ash-throated Flycatcher
,Tyrannus crassirostris,768,16971,3164_Sibl_9780307957900_art_r1.jpg,377,Thick-billed Kingbird,http://www.audubon.org/node/768,2122,1686,Thick-billed Kingbird
,Pheucticus melanocephalus,653,16986,3220_Sibl_9780307957900_art_r1.jpg,378,Black-headed Grosbeak,http://www.audubon.org/node/653,2116,1686,Black-headed Grosbeak
,Pheucticus ludovicianus,652,16991,3236_Sibl_9780307957900_art_r1.jpg,379,Rose-breasted Grosbeak,http://www.audubon.org/node/652,1464,1686,Rose-breasted Grosbeak
,Turdus migratorius,504,16996,3248_Sibl_9780307957900_art_r1.jpg,380,American Robin,http://www.audubon.org/node/504,2061,1686,American Robin
,Zonotrichia atricapilla,640,17001,3255_Sibl_9780307957900_art_r1.jpg,381,Golden-crowned Sparrow,http://www.audubon.org/node/640,1734,1686,Golden-crowned Sparrow
,Xema sabini,375,17496,3699_Sibl_9780307957900_art_r1.jpg,472,Sabines Gull,http://www.audubon.org/node/375,2543,1686,Sabines Gull
,Zonotrichia albicollis,639,17006,3262_Sibl_9780307957900_art_r1.jpg,382,White-throated Sparrow,http://www.audubon.org/node/639,1783,1686,White-throated Sparrow
,Corvus monedula,742,17011,3388_Sibl_9780307957900_art_r1.jpg,383,Eurasian Jackdaw,http://www.audubon.org/node/742,2103,1686,Eurasian Jackdaw
,Corvus imparatus,802,17016,3384_Sibl_9780307957900_art_r1.jpg,384,Tamaulipas Crow,http://www.audubon.org/node/802,2224,1686,Tamaulipas Crow
,Campylorhynchus brunneicapillus,829,17021,3394_Sibl_9780307957900_art_r1.jpg,385,Cactus Wren,http://www.audubon.org/node/829,2526,1686,Cactus Wren
,Cistothorus platensis,472,17026,3397_Sibl_9780307957900_art_r1.jpg,386,Sedge Wren,http://www.audubon.org/node/472,1188,1686,Sedge Wren
,Troglodytes pacificus,713,17031,3401_Sibl_9780307957900_art_r1.jpg,387,Pacific Wren,http://www.audubon.org/node/713,1819,1686,Pacific Wren
,Troglodytes hiemalis,477,17036,3404_Sibl_9780307957900_art_r1.jpg,388,Winter Wren,http://www.audubon.org/node/477,2036,1686,Winter Wren
,Cyanocitta stelleri,805,17041,3432_Sibl_9780307957900_art_r1.jpg,389,Stellers Jay,http://www.audubon.org/node/805,2415,1686,Stellers Jay
